x,x_dot,u
0.11045,-0.05749999999999991,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.0,0.77618
0.11045,0.05749999999999991,0.77618
0.1116,0.05749999999999991,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.05749999999999991,0.77618
0.11275,0.05749999999999991,0.77618
0.11275,0.11499999999999982,0.77618
0.11505,0.11499999999999982,0.77618
0.11505,0.0,0.77618
0.11505,0.05749999999999991,0.77618
0.1162,0.11499999999999982,0.77618
0.11735,0.05749999999999991,0.77618
0.11735,0.0,0.77618
0.11735,0.11500000000000052,0.77618
0.11965,0.11500000000000052,0.77618
0.11965,0.0,0.77618
0.11965,0.05749999999999991,0.77618
0.1208,0.05749999999999991,0.77618
0.1208,0.0,0.77618
0.1208,0.05749999999999991,0.77618
0.12195,0.05749999999999991,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,0.0,0.77618
0.12195,-0.05749999999999991,0.77618
0.1208,-0.05749999999999991,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,-0.05749999999999991,0.77618
0.11965,-0.05749999999999991,0.77618
0.11965,-0.11500000000000052,0.77618
0.11735,-0.11500000000000052,0.77618
0.11735,0.0,0.77618
0.11735,-0.05749999999999991,0.77618
0.1162,-0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.1162,-0.05749999999999991,0.77618
0.11505,-0.05749999999999991,0.77618
0.11505,-0.11499999999999982,0.77618
0.11275,-0.11499999999999982,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,-0.05749999999999991,0.77618
0.1116,-0.05749999999999991,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.05749999999999991,0.77618
0.11275,0.05749999999999991,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.11499999999999982,0.77618
0.11505,0.11499999999999982,0.77618
0.11505,0.0,0.77618
0.11505,0.05749999999999991,0.77618
0.1162,0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.1162,0.05749999999999991,0.77618
0.11735,0.05749999999999991,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.11500000000000052,0.77618
0.11965,0.11500000000000052,0.77618
0.11965,0.0,0.77618
0.11965,0.0,0.77618
0.11965,0.0,0.77618
0.11965,0.05749999999999991,0.77618
0.1208,0.0,0.77618
0.11965,0.0,0.77618
0.1208,0.05749999999999991,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,0.0,0.77618
0.1208,-0.05749999999999991,0.77618
0.11965,-0.05749999999999991,0.77618
0.11965,0.0,0.77618
0.11965,-0.11500000000000052,0.77618
0.11735,-0.11500000000000052,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,-0.05749999999999991,0.77618
0.1162,-0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,-0.05749999999999991,0.77618
0.11505,-0.05749999999999991,0.77618
0.11505,0.0,0.77618
0.11505,-0.11499999999999982,0.77618
0.11275,-0.11499999999999982,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,-0.05749999999999991,0.77618
0.1116,-0.05749999999999991,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,0.05749999999999991,0.77618
0.11275,0.05749999999999991,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.11499999999999982,0.77618
0.11505,0.11499999999999982,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.05749999999999991,0.77618
0.1162,0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.05749999999999991,0.77618
0.11735,0.05749999999999991,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,0.0,0.77618
0.11735,-0.05749999999999991,0.77618
0.1162,-0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,-0.05749999999999991,0.77618
0.11505,-0.05749999999999991,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,-0.11499999999999982,0.77618
0.11275,-0.11499999999999982,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.0,0.77618
0.11275,0.11499999999999982,0.77618
0.11505,0.11499999999999982,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.05749999999999991,0.77618
0.1162,0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,-0.05749999999999991,0.77618
0.11505,0.0,0.77618
0.1162,0.0,0.77618
0.11505,-0.05749999999999991,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,-0.11499999999999982,0.77618
0.11275,0.0,0.77618
0.11505,0.0,0.77618
0.11275,-0.11499999999999982,0.77618
0.11275,0.0,0.77618
0.11275,0.11499999999999982,0.77618
0.11505,0.11499999999999982,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.11505,-0.05749999999999991,0.77618
0.11505,0.05749999999999991,0.77618
0.1162,0.05749999999999991,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,0.0,0.77618
0.1162,-0.05749999999999991,0.77618
0.11505,-0.05749999999999991,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
0.11505,0.0,0.77618
