x,omega,u
0.14404196746889567,19.879214234986893,1.8216
0.14398630891962508,19.8790520464219,1.8216
0.14404582623794834,19.878799488894163,1.8216
0.14404521386807695,19.878470795544423,1.8216
0.14400868978013057,19.878079766214253,1.8216
0.14416728518819538,19.87763978513174,1.8216
0.14410408526201532,19.877163838597156,1.8216
0.14419202325327438,19.876664532668666,1.8216
0.14422264174684446,19.876154110847963,1.8216
0.14427465963140018,19.875644471765995,1.8216
0.14445847125636138,19.875147186868617,1.8216
0.14448723586306053,19.874721525038407,1.8216
0.14452128530563615,19.874371529103996,1.8216
0.1445349000494894,19.874101152907997,1.8216
0.14452791232205275,19.873914279557674,1.8216
0.14448039074230623,19.873814739675584,1.8216
0.14450222634196735,19.87380632965021,1.8216
0.14448889681147886,19.8738928298866,1.8216
0.14460346030920132,19.874078023057002,1.8216
0.14460280599618808,19.874365712351523,1.8216
0.14475559647341713,19.874759739728738,1.8216
0.14485345821204423,19.87526400416636,1.8216
0.14486190556081824,19.87597586835081,1.8216
0.14484270399046698,19.876898286515306,1.8216
0.1448408333263393,19.878033212603288,1.8216
0.1449240149653095,19.87938162146665,1.8216
0.14487766779353559,19.8809435315378,1.8216
0.14490412552743148,19.88271802897552,1.8216
0.14493235326191464,19.884609904845735,1.8216
0.14486693034921508,19.886617572627465,1.8216
0.1450855799478192,19.8887397068674,1.8216
0.14503279869808136,19.89097527027338,1.8216
0.14499701280943203,19.89332354080784,1.8216
0.14513674219228065,19.895784138781345,1.8216
0.1450548356248235,19.898357053946025,1.8216
0.1449203071915676,19.901042672589064,1.8216
0.14497766024377004,19.903841804626193,1.8216
0.14492176681290492,19.906755710695155,1.8216
0.1448430059810885,19.90978612924921,1.8216
0.14489071211065926,19.91282778354248,1.8216
0.144754967326289,19.91576100101204,1.8216
0.144624213775802,19.91855841053514,1.8216
0.1447006174030449,19.92119147202207,1.8216
0.14471965958945704,19.923630391500303,1.8216
0.14479644070497683,19.92584403325108,1.8216
0.14486323935272996,19.92790734910643,1.8216
0.14486527858834558,19.929295778903224,1.8216
0.14486670145950142,19.930620592533952,1.8216
0.14486750796620096,19.93188178999909,1.8216
0.14486769810844413,19.933079371298636,1.8216
0.14486727188623094,19.934213336432585,1.8216
0.14486622929956144,19.935283685400947,1.8216
0.14486457034843558,19.936290418203715,1.8216
0.14486229503285342,19.93723353484089,1.8216
0.14485940335281486,19.938113035312472,1.8216
0.14485589530832,19.938928919618466,1.8216
0.14485177089936876,19.939681187758865,1.8216
0.1448470301259612,19.94036983973367,1.8216
0.14484167298809728,19.940994875542884,1.8216
0.14483569948577704,19.94155629518651,1.8216
0.14482910961900047,19.94205409866454,1.8216
0.14482190338776751,19.942488285976978,1.8216
0.14481408079207825,19.942858857123824,1.8216
0.14480564183193262,19.94316581210508,1.8216
0.14479658650733065,19.94340915092074,1.8216
0.14478691481827236,19.94358887357081,1.8216
0.14477662676475772,19.943704980055287,1.8216
0.1447657223467867,19.943757470374173,1.8216
0.1447542015643594,19.943746344527465,1.8216
0.14474206441747572,19.943671602515167,1.8216
0.14472931090613567,19.943533244337278,1.8216
0.1447159410303393,19.943331269993795,1.8216
0.14470195479008663,19.943065679484718,1.8216
